ID,n,Result vector,Average Runtime [ms],Number of steps,Epsilon,Number of unsatisfied clauses,Best configuration found at,Result Label
1000,20,"0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 1 1 1 1 0 ",85.5877,18000,0,0,7353,50
102,20,"1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 0 0 0 1 0 ",73.9586,16000,0,0,6618,50
107,20,"0 1 1 1 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 ",101.5557,21000,0,0,2165,50
108,20,"1 0 1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 1 1 0 ",95.8428,20000,0,0,3910,50
110,20,"1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 ",106.0683,21000,0,0,1490,50
114,20,"0 1 1 1 1 1 0 0 1 0 0 0 1 1 1 1 0 1 1 1 ",111.3999,22000,0,0,1680,50
116,20,"1 1 1 1 0 1 1 1 0 0 0 0 1 1 0 0 1 0 1 1 ",89.5751,19000,0,0,1021,50
120,20,"1 1 0 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 0 0 ",84.8823,18000,0,0,3170,50
125,20,"0 1 0 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 ",110.6623,23000,0,0,4436,50
129,20,"1 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 1 1 1 1 ",91.9729,19000,0,0,1056,50
130,20,"1 0 1 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 0 ",101.3987,21000,0,0,3823,50
14,20,"1 0 0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 0 0 ",78.649,17000,0,0,1707,50
140,20,"1 1 1 0 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0 0 ",93.5836,20000,0,0,787,50
146,20,"0 1 0 1 0 1 1 1 0 0 0 1 1 0 1 1 0 1 1 0 ",92.9227,20000,0,0,3712,50
151,20,"1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 1 1 1 0 1 ",87.2307,18000,0,0,4949,50
158,20,"1 1 0 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 ",74.3462,16000,0,0,5280,50
159,20,"1 1 0 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 ",97.0984,21000,0,0,48,50
162,20,"1 1 0 1 1 1 0 1 1 1 1 1 0 0 0 1 1 1 1 0 ",75.4634,16000,0,0,6042,50
171,20,"0 1 0 1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 ",88.8412,19000,0,0,7926,50
173,20,"0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 1 0 0 ",93.1499,21000,0,0,6254,50
177,20,"0 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 ",94.0802,20000,0,0,1204,50
178,20,"0 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 1 1 ",98.7502,21000,0,0,551,50
18,20,"0 1 1 0 1 0 0 1 1 0 0 1 1 1 1 1 0 1 1 1 ",84.1438,18000,0,0,1969,50
180,20,"1 1 1 1 0 1 1 1 0 1 1 1 1 0 0 0 1 0 1 0 ",79.2274,17000,0,0,5008,50
200,20,"1 0 1 0 1 0 1 0 1 0 0 0 1 0 1 1 1 1 0 1 ",89.6104,18000,0,0,4032,50
209,20,"1 1 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1 1 0 ",89.3678,19000,0,0,1735,50
211,20,"1 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1 0 1 0 1 ",78.4714,17000,0,0,1362,50
221,20,"0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 ",74.731,16000,0,0,2896,50
224,20,"0 1 0 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 1 1 ",89.6124,19000,0,0,470,50
229,20,"0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 1 1 0 1 ",91.0403,19000,0,0,505,50
