ID,n,Result vector,Average Runtime [ms],Epsilon,Number of unsatisfied clauses
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",82.56088,0,0
10,20,"0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 ",76.75338,0,0
100,20,"1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 0 1 1 ",81.74897999999999,0,0
1000,20,"0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 1 0 ",86.45331999999999,0,0
101,20,"1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 ",82.6391,0,0
102,20,"1 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 ",89.22704,0,0
103,20,"0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 ",83.80356,0,0
104,20,"1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 ",79.65205999999999,0,0
105,20,"0 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 ",77.28354,0,0
106,20,"0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 ",85.11734,0,0
107,20,"1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 ",81.51638,0,0
108,20,"1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 ",83.06215999999999,0,0
109,20,"1 1 1 1 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 ",88.68228,0,0
11,20,"1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 ",82.51894,0,0
110,20,"1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 ",80.19951999999999,0,0
111,20,"1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 ",81.45364,0,0
112,20,"0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 ",79.64632,0,0
113,20,"1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 ",83.26944,0,0
114,20,"1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 ",80.27516,0,0
115,20,"1 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 ",86.05109999999999,0,0
116,20,"1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 ",81.1737,0,0
117,20,"0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 ",82.07386,0,0
118,20,"1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 ",80.30794,0,0
119,20,"1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 ",79.37834000000001,0,0
12,20,"1 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 ",87.39552,0,0
120,20,"1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 ",81.56942000000001,0,0
121,20,"1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 ",77.08806,0,0
122,20,"1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 ",88.81462,0,0
123,20,"1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 ",83.27202,0,0
124,20,"1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 ",80.7665,0,0
125,20,"1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 ",81.99632,0,0
126,20,"1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 ",78.44732,0,0
127,20,"1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 ",82.45652,0,0
128,20,"1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 ",82.3673,0,0
129,20,"1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 ",84.60496,0,0
13,20,"1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 0 1 ",80.93426,0,0
130,20,"0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 ",89.51187999999999,0,0
131,20,"1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 ",75.86413999999999,0,0
132,20,"1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 1 ",82.95594,0,0
133,20,"1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 ",83.47232,0,0
134,20,"1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 ",85.96108000000001,0,0
135,20,"1 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 1 1 ",86.15198000000001,0,0
136,20,"1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 ",77.06242,0,0
137,20,"0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1 0 ",85.4725,0,0
138,20,"0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 ",86.19036,0,0
139,20,"0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 ",82.25156,0,0
14,20,"1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 ",77.75924,0,0
140,20,"1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 ",76.1237,0,0
141,20,"1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 1 ",82.81134,0,0
142,20,"1 1 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 ",80.22659999999999,0,0
