ID,n,Result vector,Average Runtime [ms],Epsilon,Number of unsatisfied clauses
1,20,"1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 ",82.247,0,0
10,20,"0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 ",80.9679,0.034935612231492996,0
100,20,"1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 0 1 1 ",78.13262,0,0
1000,20,"0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 1 0 ",84.39869999999999,0,0
101,20,"1 1 1 1 0 1 0 1 0 1 1 0 0 1 1 1 1 0 1 1 ",81.33926,0.01613965816795826,0
102,20,"1 1 1 0 0 1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 ",80.76602,0,0
103,20,"0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 ",81.91314,0,0
104,20,"1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 0 1 ",71.7077,0,0
105,20,"0 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 1 ",77.60396,0,0
106,20,"0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 ",85.42254,0.03127887099981308,0
107,20,"1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 1 0 ",79.36774,0,0
108,20,"1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 ",87.19166,0,0
109,20,"1 1 1 1 1 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 ",84.35734,0,0
11,20,"1 1 1 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 1 ",80.55105999999999,0,0
110,20,"1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 ",86.60213999999999,0,0
111,20,"1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 0 1 1 ",76.14038000000001,0,0
112,20,"0 1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 1 1 ",81.95302000000001,0.1703862100839615,0
113,20,"1 0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 ",81.07032000000001,0,0
114,20,"1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 ",86.36518,0,0
115,20,"1 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 ",81.48334,0,0
116,20,"1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 ",78.06309999999999,0,0
117,20,"1 0 0 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 0 ",84.78584,0.04120493307709694,0
118,20,"1 0 0 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 ",83.32894,0,0
119,20,"1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 ",85.35674,0,0
12,20,"1 0 1 0 0 1 1 1 1 0 0 1 1 1 1 0 1 1 1 0 ",80.14894000000001,0,0
120,20,"1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 0 ",78.1962,0,0
121,20,"1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 ",86.94744,0.0008950261981226504,0
122,20,"1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0 ",87.33312,0,0
123,20,"1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 ",87.0001,0,0
124,20,"1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0 1 1 ",80.84052,0.0016666667070239782,0
125,20,"1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 ",86.35796,0,0
126,20,"1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 ",86.99166,0,0
127,20,"1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 ",75.59948,0,0
128,20,"1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 ",82.61713999999999,0,0
129,20,"1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 ",79.60706,0,0
13,20,"1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 1 0 0 1 ",79.07036000000001,0,0
130,20,"0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 0 1 1 0 ",85.38188,0,0
131,20,"1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 ",83.59094,0.006337765604257584,0
132,20,"1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 1 1 1 1 ",74.9561,0,0
133,20,"1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 ",86.40594,0.013430457562208176,0
134,20,"1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 ",82.80254,0,0
135,20,"1 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 1 1 ",77.7071,0,0
136,20,"1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 ",86.95126,0,0
137,20,"0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 1 1 1 1 0 ",75.63508,0,0
138,20,"0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 ",85.49965999999999,0,0
139,20,"0 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 ",80.90452,0,0
14,20,"1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 ",85.73286,0,0
140,20,"1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 ",87.05154,0,0
141,20,"1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 0 1 ",83.42188,0,0
142,20,"1 1 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 ",77.22536,0,0
143,20,"1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 ",88.03572,0,0
144,20,"0 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 ",79.39099999999999,0,0
145,20,"1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 0 0 ",82.0764,0,0
146,20,"1 1 0 0 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 ",74.5729,0,0
147,20,"1 1 1 0 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 0 ",89.9748,0,0
148,20,"1 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 1 1 1 ",81.26346,0,0
149,20,"1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 1 ",79.78156,0,0
15,20,"0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 ",79.23424,0,0
150,20,"1 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 ",79.79198,0,0
151,20,"1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 ",87.84614,0,0
152,20,"1 1 0 0 1 1 1 0 0 1 0 1 1 1 0 1 1 0 0 0 ",79.89403999999999,0,0
153,20,"0 1 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 ",81.64784,0,0
154,20,"1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 ",86.58394,0.025890765711665154,0
155,20,"1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 ",83.16686,0.0053571430034935474,0
156,20,"1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 1 0 1 1 ",86.28034,0,0
157,20,"0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 0 0 1 ",83.7792,0,0
158,20,"1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 1 0 ",77.54932,0,0
159,20,"1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 ",75.55807999999999,0,0
16,20,"1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 ",78.08579999999999,0,0
160,20,"1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ",85.53702,0,0
161,20,"1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 ",77.39743999999999,0,0
162,20,"1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 ",89.37742,0,0
163,20,"1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 ",83.8197,0.006448531057685614,0
164,20,"1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 0 0 0 1 ",76.6052,0,0
165,20,"1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 ",87.20398,0,0
166,20,"0 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 1 1 1 0 ",80.69972,0,0
167,20,"1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 ",78.96090000000001,0,0
168,20,"1 0 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 0 ",77.85632000000001,0,0
169,20,"0 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 0 0 ",80.75412,0,0
17,20,"1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 ",72.51906,0.010946149937808514,0
170,20,"1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 0 ",87.4043,0,0
